Notes	Vaccine Type	Vaccine Type Code	Symptoms	Symptoms Code	Events Reported
	ZOSTER VACCINE	VARZOS	DYSPHAGIA	10013950	1
	ZOSTER VACCINE	VARZOS	DYSPNOEA	10013968	2
	ZOSTER VACCINE	VARZOS	ENDOTRACHEAL INTUBATION	10067450	1
	ZOSTER VACCINE	VARZOS	ENDOTRACHEAL INTUBATION COMPLICATION	10063349	1
	ZOSTER VACCINE	VARZOS	EOSINOPHIL PERCENTAGE DECREASED	10052221	1
	ZOSTER VACCINE	VARZOS	EPSTEIN-BARR VIRUS ANTIBODY POSITIVE	10052324	1
	ZOSTER VACCINE	VARZOS	FALL	10016173	1
	ZOSTER VACCINE	VARZOS	FATIGUE	10016256	2
	ZOSTER VACCINE	VARZOS	GAIT DISTURBANCE	10017577	1
	ZOSTER VACCINE	VARZOS	GASTROINTESTINAL OEDEMA	10058061	1
	ZOSTER VACCINE	VARZOS	GENERALISED OEDEMA	10018092	1
	ZOSTER VACCINE	VARZOS	HAEMATOCRIT DECREASED	10018838	1
	ZOSTER VACCINE	VARZOS	HAEMATOMA	10018852	1
	ZOSTER VACCINE	VARZOS	HAEMOGLOBIN DECREASED	10018884	1
	ZOSTER VACCINE	VARZOS	HALLUCINATION	10019063	1
	ZOSTER VACCINE	VARZOS	HYPONATRAEMIA	10021036	1
	ZOSTER VACCINE	VARZOS	HYPOVOLAEMIA	10021137	1
	ZOSTER VACCINE	VARZOS	IMMUNODEFICIENCY	10061598	1
	ZOSTER VACCINE	VARZOS	INCOHERENT	10021630	1
	ZOSTER VACCINE	VARZOS	INJECTION SITE ERYTHEMA	10022061	1
	ZOSTER VACCINE	VARZOS	INJECTION SITE PAIN	10022086	1
	ZOSTER VACCINE	VARZOS	INJECTION SITE SWELLING	10053425	1
	ZOSTER VACCINE	VARZOS	INTENSIVE CARE	10022519	1
	ZOSTER VACCINE	VARZOS	INTERNATIONAL NORMALISED RATIO INCREASED	10022595	1
	ZOSTER VACCINE	VARZOS	IRON BINDING CAPACITY TOTAL DECREASED	10022963	1
	ZOSTER VACCINE	VARZOS	LABORATORY TEST	10059938	2
	ZOSTER VACCINE	VARZOS	LETHARGY	10024264	1
	ZOSTER VACCINE	VARZOS	LEUKOCYTOSIS	10024378	1
	ZOSTER VACCINE	VARZOS	LYMPHOCYTE COUNT DECREASED	10025256	1
	ZOSTER VACCINE	VARZOS	LYMPHOCYTE PERCENTAGE DECREASED	10052231	1
	ZOSTER VACCINE	VARZOS	MALAISE	10025482	1
	ZOSTER VACCINE	VARZOS	MEAN CELL HAEMOGLOBIN DECREASED	10026995	1
	ZOSTER VACCINE	VARZOS	MEMORY IMPAIRMENT	10027175	1
	ZOSTER VACCINE	VARZOS	MENTAL DISORDER	10061284	1
	ZOSTER VACCINE	VARZOS	METABOLIC ENCEPHALOPATHY	10062190	1
	ZOSTER VACCINE	VARZOS	MUSCULAR WEAKNESS	10028372	1
	ZOSTER VACCINE	VARZOS	NEUTROPHIL COUNT INCREASED	10029368	1
	ZOSTER VACCINE	VARZOS	NEUTROPHIL PERCENTAGE INCREASED	10052224	1
	ZOSTER VACCINE	VARZOS	NORMOCYTIC ANAEMIA	10029784	1
	ZOSTER VACCINE	VARZOS	NUCLEAR MAGNETIC RESONANCE IMAGING ABNORMAL	10029816	1
	ZOSTER VACCINE	VARZOS	PAIN	10033371	3
	ZOSTER VACCINE	VARZOS	PARAESTHESIA	10033775	1
	ZOSTER VACCINE	VARZOS	PATIENT RESTRAINT	10053316	1
	ZOSTER VACCINE	VARZOS	PHARYNGEAL SWELLING	10082270	1
	ZOSTER VACCINE	VARZOS	PLATELET COUNT DECREASED	10035528	1
	ZOSTER VACCINE	VARZOS	PLEURAL EFFUSION	10035598	1
	ZOSTER VACCINE	VARZOS	PROTEIN URINE PRESENT	10053123	1
	ZOSTER VACCINE	VARZOS	PROTHROMBIN TIME PROLONGED	10037063	1
	ZOSTER VACCINE	VARZOS	PULMONARY OEDEMA	10037423	1
	ZOSTER VACCINE	VARZOS	RED BLOOD CELL COUNT DECREASED	10038153	1
	ZOSTER VACCINE	VARZOS	RED BLOOD CELL SEDIMENTATION RATE INCREASED	10049187	1
	ZOSTER VACCINE	VARZOS	RED CELL DISTRIBUTION WIDTH INCREASED	10053920	1
	ZOSTER VACCINE	VARZOS	RESTLESSNESS	10038743	1
	ZOSTER VACCINE	VARZOS	RESUSCITATION	10038749	1
	ZOSTER VACCINE	VARZOS	SINUS TACHYCARDIA	10040752	1
	ZOSTER VACCINE	VARZOS	SWOLLEN TONGUE	10042727	1
	ZOSTER VACCINE	VARZOS	SYNCOPE	10042772	1
	ZOSTER VACCINE	VARZOS	TRANSAMINASES INCREASED	10054889	1
	ZOSTER VACCINE	VARZOS	TRANSFERRIN SATURATION DECREASED	10050770	1
	ZOSTER VACCINE	VARZOS	ULTRASOUND SCAN ABNORMAL	10061606	1
	ZOSTER VACCINE	VARZOS	VENTRICULAR EXTRASYSTOLES	10047289	1
	ZOSTER VACCINE	VARZOS	VENTRICULAR FIBRILLATION	10047290	1
	ZOSTER VACCINE	VARZOS	WHITE BLOOD CELL COUNT INCREASED	10047943	1
Total	ZOSTER VACCINE	VARZOS			115
	UNKNOWN VACCINES	UNK	APNOEA	10002974	1
	UNKNOWN VACCINES	UNK	AUTOPSY	10050117	2
	UNKNOWN VACCINES	UNK	BLOOD GLUCOSE INCREASED	10005557	1
	UNKNOWN VACCINES	UNK	BODY TEMPERATURE DECREASED	10005910	1
	UNKNOWN VACCINES	UNK	BRADYCARDIA	10006093	1
	UNKNOWN VACCINES	UNK	CARDIAC ARREST	10007515	1
	UNKNOWN VACCINES	UNK	CRYING	10011469	1
	UNKNOWN VACCINES	UNK	DEATH	10011906	6
	UNKNOWN VACCINES	UNK	DYSPNOEA	10013968	1
	UNKNOWN VACCINES	UNK	ENDOTRACHEAL INTUBATION COMPLICATION	10063349	1
	UNKNOWN VACCINES	UNK	EYE MOVEMENT DISORDER	10061129	1
	UNKNOWN VACCINES	UNK	FOETAL EXPOSURE DURING PREGNANCY	10071404	1
	UNKNOWN VACCINES	UNK	GAIT INABILITY	10017581	1
	UNKNOWN VACCINES	UNK	HEPATIC FAILURE	10019663	1
	UNKNOWN VACCINES	UNK	HYPOTONIA	10021118	1
	UNKNOWN VACCINES	UNK	INTRAOSSEOUS ACCESS PLACEMENT	10081231	1
	UNKNOWN VACCINES	UNK	LOW BIRTH WEIGHT BABY	10067508	1
	UNKNOWN VACCINES	UNK	MUSCULOSKELETAL STIFFNESS	10052904	1
	UNKNOWN VACCINES	UNK	PERIPHERAL SWELLING	10048959	1
	UNKNOWN VACCINES	UNK	PNEUMONIA	10035664	1
	UNKNOWN VACCINES	UNK	PREMATURE BABY	10036590	1
	UNKNOWN VACCINES	UNK	PULMONARY CONGESTION	10037368	1
	UNKNOWN VACCINES	UNK	PULSE ABSENT	10037469	1
	UNKNOWN VACCINES	UNK	RASH	10037844	1
	UNKNOWN VACCINES	UNK	RESPIRATORY ARREST	10038669	1
	UNKNOWN VACCINES	UNK	RESUSCITATION	10038749	1
	UNKNOWN VACCINES	UNK	SCREAMING	10039740	1
	UNKNOWN VACCINES	UNK	SEIZURE	10039906	1
	UNKNOWN VACCINES	UNK	SEPSIS	10040047	1
	UNKNOWN VACCINES	UNK	SKIN DISORDER	10040831	1
	UNKNOWN VACCINES	UNK	STILLBIRTH	10042062	1
	UNKNOWN VACCINES	UNK	SUDDEN DEATH	10042434	1
	UNKNOWN VACCINES	UNK	ULTRASOUND DOPPLER ABNORMAL	10045413	1
	UNKNOWN VACCINES	UNK	UNEVALUABLE EVENT	10062355	3
Total	UNKNOWN VACCINES	UNK			42
Total					669
